job_id,prompt_idx,config,psnr,ssim,mse,lpips
000000000058,1,improved_fp16_cache,48.36271286010742,0.9963715076446533,1.4579037269868422e-05,0.0014571561478078365
000000000058,2,improved_fp16_cache,47.27487564086914,0.9964402914047241,1.8728909708443098e-05,0.0014041742542758584
000000000059,0,improved_fp16_cache,54.0453987121582,0.9986944198608398,3.9396732063323725e-06,0.00020818336633965373
000000000059,1,improved_fp16_cache,47.58134078979492,0.9974724650382996,1.7452824977226555e-05,0.0005407779244706035
000000000059,2,improved_fp16_cache,48.417762756347656,0.9983479380607605,1.4395394828170538e-05,0.00040265137795358896
000000000060,0,improved_fp16_cache,55.425716400146484,0.9982483386993408,2.8670021947618807e-06,0.00045014129136689007
000000000060,1,improved_fp16_cache,55.81578063964844,0.9983201026916504,2.620726036184351e-06,0.000484108371892944
000000000060,2,improved_fp16_cache,50.95539093017578,0.9978750944137573,8.025286660995334e-06,0.0007142460090108216
000000000061,0,improved_fp16_cache,44.99222183227539,0.9973528385162354,3.167946124449372e-05,0.0012247823178768158
000000000061,1,improved_fp16_cache,47.23942947387695,0.9978856444358826,1.8882376025430858e-05,0.0008870885940268636
000000000061,2,improved_fp16_cache,45.2082405090332,0.9974880218505859,3.0142260584398173e-05,0.0010972068412229419
000000000062,0,improved_fp16_cache,51.003971099853516,0.998677134513855,7.936017937026918e-06,0.0004264988820068538
000000000062,1,improved_fp16_cache,51.56324768066406,0.9984652400016785,6.977097655180842e-06,0.00032393785659223795
000000000062,2,improved_fp16_cache,47.30896759033203,0.998192310333252,1.8582459233584814e-05,0.0004811428370885551
000000000063,0,improved_fp16_cache,47.025047302246094,0.9976527094841003,1.9837874788208865e-05,0.0009718462824821472
000000000063,1,improved_fp16_cache,42.65040969848633,0.9953801035881042,5.4319865739671513e-05,0.002434417838230729
000000000063,2,improved_fp16_cache,43.03102111816406,0.9956743121147156,4.976196214556694e-05,0.0015821256674826145
000000000064,0,improved_fp16_cache,46.598541259765625,0.9977997541427612,2.1884952730033547e-05,0.0009925379417836666
000000000064,1,improved_fp16_cache,45.30803680419922,0.9974817633628845,2.945750020444393e-05,0.0014050588943064213
